Year	Access Date	Source	File	Signature
2004	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/861_883_2004SpanishBlueBookforInternet.pdf	2004-11-02-es-Colorado-Legislative-Blue-Book.pdf	2004-11-02-es-Colorado-Legislative-Blue-Book.pdf.sig
2005	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/2005BlueBookforInternet.pdf	2005-11-01-en-Colorado-Legislative-Blue-Book.pdf	2005-11-01-en-Colorado-Legislative-Blue-Book.pdf.sig
2005	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/2005SpanishBlueBookforInternet.pdf	2005-11-01-es-Colorado-Legislative-Blue-Book.pdf	2005-11-01-es-Colorado-Legislative-Blue-Book.pdf.sig
2006	2015-12-11	http://www2.cde.state.co.us/ctbl/download/pdf/BlueBook2006.pdf	2006-11-07-en-Colorado-Legislative-Blue-Book.pdf	2006-11-07-en-Colorado-Legislative-Blue-Book.pdf.sig
2008	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/2008EnglishVersionforInternet_1.pdf	2008-11-04-en-Colorado-Legislative-Blue-Book.pdf	2008-11-04-en-Colorado-Legislative-Blue-Book.pdf.sig
2008	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/2008SpanishVersionforInternet.pdf	2008-11-04-es-Colorado-Legislative-Blue-Book.pdf	2008-11-04-es-Colorado-Legislative-Blue-Book.pdf.sig
2010	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/10BlueBookEnglish_3.pdf	2010-11-02-en-Colorado-Legislative-Blue-Book.pdf	2010-11-02-en-Colorado-Legislative-Blue-Book.pdf.sig
2012	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/2012%20English%20Blue%20Book%20Internet%20Version_1.pdf	2012-11-06-en-Colorado-Legislative-Blue-Book.pdf	2012-11-06-en-Colorado-Legislative-Blue-Book.pdf.sig
2015	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/Blue%20Book%20for%20INTERNET%202015.pdf	 2015-11-03-en-Colorado-Legislative-Blue-Book.pdf	 2015-11-03-en-Colorado-Legislative-Blue-Book.pdf.sig
2015	2015-12-11	https://www.colorado.gov/pacific/sites/default/files/Blue%20Book%20SPANISH%20for%20INTERNET%202015.pdf	 2015-11-03-es-Colorado-Legislative-Blue-Book.pdf	 2015-11-03-es-Colorado-Legislative-Blue-Book.pdf.sig
